Time,Longitude,Latitude,Altitude
2024-06-01 22:55:00,162.139259821034,90.0,-6353842.4218300525
2024-06-01 22:56:00,165.0741079736534,90.0,-6354151.109958147
2024-06-01 22:57:00,167.88629159884238,90.0,-6354472.088212859
2024-06-01 22:58:00,170.59554369586004,90.0,-6354803.841136346
2024-06-01 22:59:00,173.2201593211101,90.0,-6355144.8018181445
2024-06-01 23:00:00,175.77718860706233,90.0,-6355493.359383193
2024-06-01 23:01:00,178.28265330867697,90.0,-6355847.866715991
2024-06-01 23:02:00,-179.24822702160637,90.0,-6356206.648382686
2024-06-01 23:03:00,-176.80080660191837,90.0,-6356568.008705335
2024-06-01 23:04:00,-174.3607858774964,-90.0,-6356574.388545898
2024-06-01 23:05:00,-171.9139854851693,-90.0,-6356212.997947276
2024-06-01 23:06:00,-169.446120988202,-90.0,-6355854.155104633
2024-06-01 23:07:00,-166.94257722425706,-90.0,-6355499.554465725
2024-06-01 23:08:00,-164.38818150695653,-90.0,-6355150.869663152
2024-06-01 23:09:00,-161.76697624411136,-90.0,-6354809.745491209
2024-06-01 23:10:00,-159.06199402485788,-90.0,-6354477.790051006
2024-06-01 23:11:00,-156.25504235283643,-90.0,-6354156.567107017
2024-06-01 23:12:00,-153.3265116045757,-90.0,-6353847.588692099
2024-06-01 23:13:00,-150.25522952762344,-90.0,-6353552.308000789
2024-06-01 23:14:00,-147.01839963734182,-90.0,-6353272.112601763
2024-06-01 23:15:00,-143.59168055221036,-90.0,-6353008.318002329
2024-06-01 23:16:00,-139.94948899347065,-90.0,-6352762.161590586
2024-06-01 23:17:00,-136.06563972286776,-90.0,-6352534.796979413
2024-06-01 23:18:00,-131.91446564389724,-90.0,-6352327.288773088
2024-06-01 23:19:00,-127.47257762768422,-90.0,-6352140.607773956
2024-06-01 23:20:00,-122.72140162930731,-90.0,-6351975.626642815
2024-06-01 23:21:00,-117.65053269295427,-90.0,-6351833.116025385
2024-06-01 23:22:00,-112.26172938102232,-90.0,-6351713.741154183
2024-06-01 23:23:00,-106.5730206881358,-90.0,-6351618.058932347
2024-06-01 23:24:00,-100.62197119065243,-90.0,-6351546.515505476
2024-06-01 23:25:00,-94.4668380533524,-90.0,-6351499.444325093
2024-06-01 23:26:00,-88.18444909323301,-90.0,-6351477.064706593
2024-06-01 23:27:00,-81.86435660233556,-90.0,-6351479.480883451
2024-06-01 23:28:00,-75.60005624569824,-90.0,-6351506.681558796
2024-06-01 23:29:00,-69.47923699290325,-90.0,-6351558.539954865
2024-06-01 23:30:00,-63.57544827480684,-90.0,-6351634.814360176
2024-06-01 23:31:00,-57.94296092154949,-90.0,-6351735.1491739405
2024-06-01 23:32:00,-52.615352028381324,-90.0,-6351859.076446254
2024-06-01 23:33:00,-47.607176398386706,-90.0,-6352006.01791226
2024-06-01 23:34:00,-42.917489429443535,-90.0,-6352175.287517103
2024-06-01 23:35:00,-38.53399370441804,-90.0,-6352366.094427678
2024-06-01 23:36:00,-34.43693716033159,-90.0,-6352577.54652503
2024-06-01 23:37:00,-30.602312849110547,-90.0,-6352808.654370308
2024-06-01 23:38:00,-27.004236792727255,-90.0,-6353058.335633966
2024-06-01 23:39:00,-23.61657068004504,-90.0,-6353325.419976656
2024-06-01 23:40:00,-20.413935914288974,-90.0,-6353608.654366176
2024-06-01 23:41:00,-17.372277415108904,-90.0,-6353906.708813203
2024-06-01 23:42:00,-14.469115082553826,-90.0,-6354218.182504
2024-06-01 23:43:00,-11.683590026000841,-90.0,-6354541.610306023
2024-06-01 23:44:00,-8.996382820461516,-90.0,-6354875.469618794
2024-06-01 23:45:00,-6.3895565025736785,-90.0,-6355218.187538748
2024-06-01 23:46:00,-3.846358541454096,-90.0,-6355568.14830312
2024-06-01 23:47:00,-1.3510028644475658,-90.0,-6355923.700976934
2024-06-01 23:48:00,1.1115559310354497,-90.0,-6356283.1673418535
2024-06-01 23:49:00,3.5558499752195174,-90.0,-6356644.849944946
2024-06-01 23:50:00,5.996124676618969,90.0,-6356497.588227281
2024-06-01 23:51:00,8.446564204457339,90.0,-6356136.601552642
2024-06-01 23:52:00,10.921516793182423,90.0,-6355778.52445863
2024-06-01 23:53:00,13.435721034482386,90.0,-6355425.049226302
2024-06-01 23:54:00,16.00453368503769,90.0,-6355077.84631816
2024-06-01 23:55:00,18.64415800470118,90.0,-6354738.5563313
2024-06-01 23:56:00,21.371868796164097,90.0,-6354408.782112203
2024-06-01 23:57:00,24.206225724178275,90.0,-6354090.081076765
2024-06-01 23:58:00,27.16725937591955,90.0,-6353783.957774942
2024-06-01 23:59:00,30.276603821097094,90.0,-6353491.856739146
2024-06-01 00:00:00,159.6693791613588,90.0,-6353189.303486377
2024-06-01 00:01:00,162.96817980723742,90.0,-6353464.457310713
2024-06-01 00:02:00,166.09307173244684,90.0,-6353755.140127781
2024-06-01 00:03:00,169.06748345779502,90.0,-6354059.981088201
2024-06-01 00:04:00,171.91320659944827,90.0,-6354377.541834367
2024-06-01 00:05:00,174.6504210525251,90.0,-6354706.323301223
2024-06-01 00:06:00,177.29782040291957,90.0,-6355044.772839559
2024-06-01 00:07:00,179.87279411436236,90.0,-6355391.291626872
2024-06-01 00:08:00,-177.60836100566112,90.0,-6355744.2423281
2024-06-01 00:09:00,-175.13021647623458,90.0,-6356101.956964976
2024-06-01 00:10:00,-172.6779839291326,90.0,-6356462.744951415
2024-06-01 00:11:00,-170.2372871888468,-90.0,-6356679.72723997
2024-06-01 00:12:00,-167.79393586527607,-90.0,-6356317.913884554
2024-06-01 00:13:00,-165.33370001065293,-90.0,-6355958.152687174
2024-06-01 00:14:00,-162.84208472579581,-90.0,-6355602.1425795555
2024-06-01 00:15:00,-160.30410374341258,-90.0,-6355251.564034093
2024-06-01 00:16:00,-157.70405207550888,-90.0,-6354908.070999484
2024-06-01 00:17:00,-155.02527990312691,-90.0,-6354573.282991909
2024-06-01 00:18:00,-152.24997347928135,-90.0,-6354248.77738489
